,sampleID,Variable,value,Unit,AdjunctCulture,Age[d],Experiment,MilkTreatment,Prefix,SampleNumber,SampleType,Season,Semester,SubExperiment,Trial,production_date,variable
72,EH_306_vatmilk_0h,E coli,1.0,log CFU/g,eRM.o,0,Liebefeld,raw,<,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,E_coli
73,EH_306_vatmilk_0h,Enterobacteriaceae,1.0,log CFU/g,eRM.o,0,Liebefeld,raw,<,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterobacteriaceae
74,EH_306_vatmilk_0h,Enterococci,2.724275869600789,log CFU/g,eRM.o,0,Liebefeld,raw,None,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterococci
75,EH_306_vatmilk_0h,Fac heteroferm,1.301029995663981,log CFU/g,eRM.o,0,Liebefeld,raw,None,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Fac_heteroferm
76,EH_306_vatmilk_0h,Lactobacilli,2.397940008672037,log CFU/g,eRM.o,0,Liebefeld,raw,None,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Lactobacilli
77,EH_306_vatmilk_0h,Mesophilic aerobic total,4.301029995663981,log CFU/g,eRM.o,0,Liebefeld,raw,None,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Mesophilic_aerobic_total
78,EH_306_vatmilk_0h,Moulds,1.0,log CFU/g,eRM.o,0,Liebefeld,raw,<,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Moulds
79,EH_306_vatmilk_0h,PAB,1.0,log CFU/g,eRM.o,0,Liebefeld,raw,<,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,PAB
80,EH_306_vatmilk_0h,Salt tolerant,3.431363764158987,log CFU/g,eRM.o,0,Liebefeld,raw,None,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Salt_tolerant
81,EH_306_vatmilk_0h,Spores,1.724275869600789,log Spor./l,eRM.o,0,Liebefeld,raw,<,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Spores
82,EH_306_vatmilk_0h,Streptococci,4.342422680822207,log CFU/g,eRM.o,0,Liebefeld,raw,None,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Streptococci
83,EH_306_vatmilk_0h,Yeasts,4.146128035678238,log CFU/g,eRM.o,0,Liebefeld,raw,None,306,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Yeasts
84,EH_307_vatmilk_0h,Butyric spores,1.724275869600789,log Spor./l,eRM.H.o,0,Liebefeld,raw,None,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Butyric_spores
85,EH_307_vatmilk_0h,Coag pos Staph,1.0,log CFU/g,eRM.H.o,0,Liebefeld,raw,<,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Coag_pos_Staph
86,EH_307_vatmilk_0h,E coli,1.0,log CFU/g,eRM.H.o,0,Liebefeld,raw,<,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,E_coli
87,EH_307_vatmilk_0h,Enterobacteriaceae,1.0,log CFU/g,eRM.H.o,0,Liebefeld,raw,<,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterobacteriaceae
88,EH_307_vatmilk_0h,Enterococci,3.278753600952829,log CFU/g,eRM.H.o,0,Liebefeld,raw,None,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterococci
89,EH_307_vatmilk_0h,Fac heteroferm,1.0,log CFU/g,eRM.H.o,0,Liebefeld,raw,<,307,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Fac_heteroferm
